Started at: 15:38:10
['/DATA/rohan_kirti/country/italy/RBQ/Italy_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/italy/RBQ/Italy_RBQ.xlsx
✅ Saved → RBQ | Bocc | Row 87
✅ Saved → RBQ | Bocc | Row 88
✅ Saved → RBQ | Bocc | Row 89
✅ Saved → RBQ | Bocc | Row 90
✅ Saved → RBQ | Bocc | Row 91
✅ Saved → RBQ | Bocc | Row 92
✅ Saved → RBQ | Bocc | Row 93
✅ Saved → RBQ | Bocc | Row 94
✅ Saved → RBQ | Bocc | Row 95
✅ Saved → RBQ | Bocc | Row 96
✅ Saved → RBQ | Bocc | Row 97
✅ Saved → RBQ | Bocc | Row 98
✅ Saved → RBQ | Bocc | Row 99
✅ Saved → RBQ | Bocc | Row 100
✅ Saved → RBQ | Bocc | Row 101
✅ Saved → RBQ | Bocc | Row 102
✅ Saved → RBQ | Bocc | Row 103
✅ Saved → RBQ | Bocc | Row 104
✅ Saved → RBQ | Bocc | Row 105
✅ Saved → RBQ | Bocc | Row 106
✅ Saved → RBQ | Bocc | Row 107
✅ Saved → RBQ | Bocc | Row 108
✅ Saved → RBQ | Bocc | Row 109
✅ Saved → RBQ | Bocc | Row 110
✅ Saved → RBQ | Bocc | Row 111
✅ Saved → RBQ | Bocc | Row 112
✅ Saved → RBQ | Bocc | Row 113
✅ Saved → RBQ | Bocc | Row 114
✅ Saved → RBQ | Bocc | Row 115
✅ Saved → RBQ | Bocc | Row 116
✅ Saved → RBQ | Bocc | Row 117
✅ Saved → RBQ | Bocc | Row 118
✅ Saved → RBQ | Bocc | Row 119
✅ Saved → RBQ | Bocc | Row 120
✅ Saved → RBQ | Bocc | Row 121
✅ Saved → RBQ | Bocc | Row 122
✅ Saved → RBQ | Bocc | Row 123
✅ Saved → RBQ | Bocc | Row 124
✅ Saved → RBQ | Bocc | Row 125
✅ Saved → RBQ | Bocc | Row 126
✅ Saved → RBQ | Bocc | Row 127
✅ Saved → RBQ | Bocc | Row 128
✅ Saved → RBQ | Bocc | Row 129
✅ Saved → RBQ | Bocc | Row 130
