Started at: 20:40:09
['/DATA/rohan_kirti/country/france/RBQ/France_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/france/RBQ/France_RBQ.xlsx
✅ Saved → RBQ | Tambourin | Row 41
✅ Saved → RBQ | Tambourin | Row 42
✅ Saved → RBQ | Tambourin | Row 43
✅ Saved → RBQ | Tambourin | Row 44
✅ Saved → RBQ | Tambourin | Row 45
✅ Saved → RBQ | Tambourin | Row 46
✅ Saved → RBQ | Tambourin | Row 47
✅ Saved → RBQ | Tambourin | Row 48
✅ Saved → RBQ | Tambourin | Row 49
✅ Saved → RBQ | Tambourin | Row 50
✅ Saved → RBQ | Tambourin | Row 51
✅ Saved → RBQ | Tambourin | Row 52
✅ Saved → RBQ | Tambourin | Row 53
✅ Saved → RBQ | Tambourin | Row 54
✅ Saved → RBQ | Tambourin | Row 55
✅ Saved → RBQ | Tambourin | Row 56
✅ Saved → RBQ | Tambourin | Row 57
✅ Saved → RBQ | Tambourin | Row 58
✅ Saved → RBQ | Tambourin | Row 59
✅ Saved → RBQ | Tambourin | Row 60
✅ Saved → RBQ | Tambourin | Row 61
✅ Saved → RBQ | Tambourin | Row 62
✅ Saved → RBQ | Tambourin | Row 63
✅ Saved → RBQ | Tambourin | Row 64
✅ Saved → RBQ | Tambourin | Row 65
✅ Saved → RBQ | Tambourin | Row 66
✅ Saved → RBQ | Tambourin | Row 67
✅ Saved → RBQ | Tambourin | Row 68
✅ Saved → RBQ | Tambourin | Row 69
✅ Saved → RBQ | Tambourin | Row 70
✅ Saved → RBQ | Tambourin | Row 71
✅ Saved → RBQ | Tambourin | Row 72
✅ Saved → RBQ | Tambourin | Row 73
✅ Saved → RBQ | Tambourin | Row 74
✅ Saved → RBQ | Tambourin | Row 75
✅ Saved → RBQ | Tambourin | Row 80
✅ Saved → RBQ | Tambourin | Row 118
✅ Saved → RBQ | Tambourin | Row 119
✅ Saved → RBQ | Tambourin | Row 120
✅ Saved → RBQ | Tambourin | Row 121
✅ Saved → RBQ | Tambourin | Row 122
✅ Saved → RBQ | Tambourin | Row 123
