Started at: 10:35:33

📌 Processing: /DATA/rohan_kirti/country/Bengali/RBQ/Bangladesh_RBQ.xlsx
✅ Saved → RBQ | dariabandha | Row 117
✅ Saved → RBQ | dariabandha | Row 118
✅ Saved → RBQ | dariabandha | Row 119
✅ Saved → RBQ | dariabandha | Row 120
✅ Saved → RBQ | dariabandha | Row 121
✅ Saved → RBQ | dariabandha | Row 122
✅ Saved → RBQ | dariabandha | Row 123
✅ Saved → RBQ | dariabandha | Row 124
✅ Saved → RBQ | golla chut | Row 0
✅ Saved → RBQ | golla chut | Row 1
✅ Saved → RBQ | golla chut | Row 2
✅ Saved → RBQ | golla chut | Row 3
✅ Saved → RBQ | golla chut | Row 4
✅ Saved → RBQ | golla chut | Row 5
✅ Saved → RBQ | golla chut | Row 6
✅ Saved → RBQ | golla chut | Row 7
✅ Saved → RBQ | golla chut | Row 8
✅ Saved → RBQ | golla chut | Row 9
✅ Saved → RBQ | golla chut | Row 10
✅ Saved → RBQ | golla chut | Row 11
✅ Saved → RBQ | golla chut | Row 12
✅ Saved → RBQ | golla chut | Row 13
✅ Saved → RBQ | golla chut | Row 14
✅ Saved → RBQ | golla chut | Row 15
✅ Saved → RBQ | golla chut | Row 16
✅ Saved → RBQ | golla chut | Row 17
✅ Saved → RBQ | golla chut | Row 18
✅ Saved → RBQ | golla chut | Row 19
✅ Saved → RBQ | golla chut | Row 20
✅ Saved → RBQ | golla chut | Row 21
✅ Saved → RBQ | golla chut | Row 22
✅ Saved → RBQ | golla chut | Row 23
✅ Saved → RBQ | golla chut | Row 24
✅ Saved → RBQ | golla chut | Row 25
✅ Saved → RBQ | golla chut | Row 26
✅ Saved → RBQ | golla chut | Row 27
✅ Saved → RBQ | golla chut | Row 28
✅ Saved → RBQ | golla chut | Row 29
✅ Saved → RBQ | golla chut | Row 30
✅ Saved → RBQ | golla chut | Row 31
✅ Saved → RBQ | golla chut | Row 32
✅ Saved → RBQ | golla chut | Row 33
✅ Saved → RBQ | golla chut | Row 34
✅ Saved → RBQ | golla chut | Row 35
✅ Saved → RBQ | golla chut | Row 36
✅ Saved → RBQ | golla chut | Row 37
✅ Saved → RBQ | golla chut | Row 38
✅ Saved → RBQ | golla chut | Row 39
✅ Saved → RBQ | golla chut | Row 40
✅ Saved → RBQ | golla chut | Row 41
✅ Saved → RBQ | golla chut | Row 42
✅ Saved → RBQ | golla chut | Row 43
✅ Saved → RBQ | golla chut | Row 44
✅ Saved → RBQ | golla chut | Row 45
✅ Saved → RBQ | golla chut | Row 46
✅ Saved → RBQ | golla chut | Row 47
✅ Saved → RBQ | golla chut | Row 48
✅ Saved → RBQ | golla chut | Row 49
✅ Saved → RBQ | golla chut | Row 50
✅ Saved → RBQ | golla chut | Row 51
✅ Saved → RBQ | golla chut | Row 52
✅ Saved → RBQ | golla chut | Row 53
✅ Saved → RBQ | golla chut | Row 54
✅ Saved → RBQ | golla chut | Row 55
✅ Saved → RBQ | golla chut | Row 56
✅ Saved → RBQ | golla chut | Row 57
✅ Saved → RBQ | golla chut | Row 58
✅ Saved → RBQ | golla chut | Row 59
✅ Saved → RBQ | golla chut | Row 60
✅ Saved → RBQ | golla chut | Row 61
✅ Saved → RBQ | golla chut | Row 62
✅ Saved → RBQ | golla chut | Row 63
✅ Saved → RBQ | golla chut | Row 64
✅ Saved → RBQ | golla chut | Row 65
✅ Saved → RBQ | golla chut | Row 66
✅ Saved → RBQ | golla chut | Row 67
✅ Saved → RBQ | golla chut | Row 68
✅ Saved → RBQ | golla chut | Row 69
✅ Saved → RBQ | golla chut | Row 70
✅ Saved → RBQ | golla chut | Row 71
✅ Saved → RBQ | golla chut | Row 72
✅ Saved → RBQ | golla chut | Row 73
✅ Saved → RBQ | golla chut | Row 74
✅ Saved → RBQ | golla chut | Row 75
✅ Saved → RBQ | golla chut | Row 76
✅ Saved → RBQ | golla chut | Row 77
✅ Saved → RBQ | golla chut | Row 78
✅ Saved → RBQ | golla chut | Row 79
✅ Saved → RBQ | golla chut | Row 80
✅ Saved → RBQ | golla chut | Row 81
✅ Saved → RBQ | golla chut | Row 82
✅ Saved → RBQ | golla chut | Row 83
✅ Saved → RBQ | golla chut | Row 84
✅ Saved → RBQ | golla chut | Row 85
✅ Saved → RBQ | golla chut | Row 86
✅ Saved → RBQ | golla chut | Row 87
✅ Saved → RBQ | golla chut | Row 88
✅ Saved → RBQ | golla chut | Row 89
✅ Saved → RBQ | golla chut | Row 90
✅ Saved → RBQ | golla chut | Row 91
✅ Saved → RBQ | golla chut | Row 92
✅ Saved → RBQ | golla chut | Row 93
✅ Saved → RBQ | golla chut | Row 94
✅ Saved → RBQ | golla chut | Row 95
✅ Saved → RBQ | golla chut | Row 96
✅ Saved → RBQ | golla chut | Row 97
✅ Saved → RBQ | golla chut | Row 98
✅ Saved → RBQ | golla chut | Row 99
✅ Saved → RBQ | golla chut | Row 100
✅ Saved → RBQ | golla chut | Row 101
✅ Saved → RBQ | golla chut | Row 102
✅ Saved → RBQ | golla chut | Row 103
✅ Saved → RBQ | golla chut | Row 104
✅ Saved → RBQ | golla chut | Row 105
✅ Saved → RBQ | golla chut | Row 106
✅ Saved → RBQ | golla chut | Row 107
✅ Saved → RBQ | golla chut | Row 108
✅ Saved → RBQ | golla chut | Row 109
✅ Saved → RBQ | golla chut | Row 110
✅ Saved → RBQ | golla chut | Row 111
✅ Saved → RBQ | golla chut | Row 112
✅ Saved → RBQ | golla chut | Row 113
✅ Saved → RBQ | golla chut | Row 114
✅ Saved → RBQ | golla chut | Row 115
✅ Saved → RBQ | golla chut | Row 116
✅ Saved → RBQ | golla chut | Row 117
✅ Saved → RBQ | golla chut | Row 118
✅ Saved → RBQ | golla chut | Row 119
✅ Saved → RBQ | golla chut | Row 120
✅ Saved → RBQ | golla chut | Row 121
✅ Saved → RBQ | golla chut | Row 122
✅ Saved → RBQ | golla chut | Row 123
✅ Saved → RBQ | golla chut | Row 124
✅ Saved → RBQ | ha du du | Row 0
✅ Saved → RBQ | ha du du | Row 1
✅ Saved → RBQ | ha du du | Row 2
✅ Saved → RBQ | ha du du | Row 3
✅ Saved → RBQ | ha du du | Row 4
✅ Saved → RBQ | ha du du | Row 5
✅ Saved → RBQ | ha du du | Row 6
✅ Saved → RBQ | ha du du | Row 7
✅ Saved → RBQ | ha du du | Row 8
✅ Saved → RBQ | ha du du | Row 9
✅ Saved → RBQ | ha du du | Row 10
✅ Saved → RBQ | ha du du | Row 11
✅ Saved → RBQ | ha du du | Row 12
✅ Saved → RBQ | ha du du | Row 13
✅ Saved → RBQ | ha du du | Row 14
✅ Saved → RBQ | ha du du | Row 15
✅ Saved → RBQ | ha du du | Row 16
✅ Saved → RBQ | ha du du | Row 17
✅ Saved → RBQ | ha du du | Row 18
✅ Saved → RBQ | ha du du | Row 19
✅ Saved → RBQ | ha du du | Row 20
✅ Saved → RBQ | ha du du | Row 21
✅ Saved → RBQ | ha du du | Row 22
✅ Saved → RBQ | ha du du | Row 23
✅ Saved → RBQ | ha du du | Row 24
✅ Saved → RBQ | ha du du | Row 25
✅ Saved → RBQ | ha du du | Row 26
✅ Saved → RBQ | ha du du | Row 27
✅ Saved → RBQ | ha du du | Row 28
✅ Saved → RBQ | ha du du | Row 29
✅ Saved → RBQ | ha du du | Row 30
✅ Saved → RBQ | ha du du | Row 31
✅ Saved → RBQ | ha du du | Row 32
✅ Saved → RBQ | ha du du | Row 33
✅ Saved → RBQ | ha du du | Row 34
✅ Saved → RBQ | ha du du | Row 35
✅ Saved → RBQ | ha du du | Row 36
✅ Saved → RBQ | ha du du | Row 37
✅ Saved → RBQ | ha du du | Row 38
✅ Saved → RBQ | ha du du | Row 39
✅ Saved → RBQ | ha du du | Row 40
✅ Saved → RBQ | ha du du | Row 41
✅ Saved → RBQ | ha du du | Row 42
✅ Saved → RBQ | ha du du | Row 43
✅ Saved → RBQ | ha du du | Row 44
✅ Saved → RBQ | ha du du | Row 45
✅ Saved → RBQ | ha du du | Row 46
✅ Saved → RBQ | ha du du | Row 47
✅ Saved → RBQ | ha du du | Row 48
✅ Saved → RBQ | ha du du | Row 49
✅ Saved → RBQ | ha du du | Row 50
✅ Saved → RBQ | ha du du | Row 51
✅ Saved → RBQ | ha du du | Row 52
✅ Saved → RBQ | ha du du | Row 53
✅ Saved → RBQ | ha du du | Row 54
✅ Saved → RBQ | ha du du | Row 55
✅ Saved → RBQ | ha du du | Row 56
✅ Saved → RBQ | ha du du | Row 57
✅ Saved → RBQ | ha du du | Row 58
✅ Saved → RBQ | ha du du | Row 59
✅ Saved → RBQ | ha du du | Row 60
✅ Saved → RBQ | ha du du | Row 61
✅ Saved → RBQ | ha du du | Row 62
✅ Saved → RBQ | ha du du | Row 63
✅ Saved → RBQ | ha du du | Row 64
✅ Saved → RBQ | ha du du | Row 65
✅ Saved → RBQ | ha du du | Row 66
✅ Saved → RBQ | ha du du | Row 67
✅ Saved → RBQ | ha du du | Row 68
✅ Saved → RBQ | ha du du | Row 69
✅ Saved → RBQ | ha du du | Row 70
✅ Saved → RBQ | ha du du | Row 71
✅ Saved → RBQ | ha du du | Row 72
✅ Saved → RBQ | ha du du | Row 73
✅ Saved → RBQ | ha du du | Row 74
✅ Saved → RBQ | ha du du | Row 75
✅ Saved → RBQ | ha du du | Row 76
✅ Saved → RBQ | ha du du | Row 77
✅ Saved → RBQ | ha du du | Row 78
✅ Saved → RBQ | ha du du | Row 79
✅ Saved → RBQ | ha du du | Row 80
✅ Saved → RBQ | ha du du | Row 81
✅ Saved → RBQ | ha du du | Row 82
✅ Saved → RBQ | ha du du | Row 83
✅ Saved → RBQ | ha du du | Row 84
✅ Saved → RBQ | ha du du | Row 85
✅ Saved → RBQ | ha du du | Row 86
✅ Saved → RBQ | ha du du | Row 87
✅ Saved → RBQ | ha du du | Row 88
✅ Saved → RBQ | ha du du | Row 89
✅ Saved → RBQ | ha du du | Row 90
✅ Saved → RBQ | ha du du | Row 91
✅ Saved → RBQ | ha du du | Row 92
✅ Saved → RBQ | ha du du | Row 93
✅ Saved → RBQ | ha du du | Row 94
✅ Saved → RBQ | ha du du | Row 95
✅ Saved → RBQ | ha du du | Row 96
✅ Saved → RBQ | ha du du | Row 97
✅ Saved → RBQ | ha du du | Row 98
✅ Saved → RBQ | ha du du | Row 99
✅ Saved → RBQ | ha du du | Row 100
✅ Saved → RBQ | ha du du | Row 101
✅ Saved → RBQ | ha du du | Row 102
✅ Saved → RBQ | ha du du | Row 103
✅ Saved → RBQ | ha du du | Row 104
✅ Saved → RBQ | ha du du | Row 105
✅ Saved → RBQ | ha du du | Row 106
✅ Saved → RBQ | ha du du | Row 107
✅ Saved → RBQ | ha du du | Row 108
✅ Saved → RBQ | ha du du | Row 109
✅ Saved → RBQ | ha du du | Row 110
✅ Saved → RBQ | ha du du | Row 111
✅ Saved → RBQ | ha du du | Row 112
✅ Saved → RBQ | ha du du | Row 113
✅ Saved → RBQ | ha du du | Row 114
✅ Saved → RBQ | ha du du | Row 115
✅ Saved → RBQ | ha du du | Row 116
✅ Saved → RBQ | ha du du | Row 117
✅ Saved → RBQ | ha du du | Row 118
✅ Saved → RBQ | ha du du | Row 119
✅ Saved → RBQ | ha du du | Row 120
✅ Saved → RBQ | ha du du | Row 121
✅ Saved → RBQ | ha du du | Row 122
✅ Saved → RBQ | ha du du | Row 123
✅ Saved → RBQ | ha du du | Row 124
✅ Saved → RBQ | lathi khela | Row 0
✅ Saved → RBQ | lathi khela | Row 1
✅ Saved → RBQ | lathi khela | Row 2
✅ Saved → RBQ | lathi khela | Row 3
✅ Saved → RBQ | lathi khela | Row 4
✅ Saved → RBQ | lathi khela | Row 5
✅ Saved → RBQ | lathi khela | Row 6
✅ Saved → RBQ | lathi khela | Row 7
✅ Saved → RBQ | lathi khela | Row 8
✅ Saved → RBQ | lathi khela | Row 9
✅ Saved → RBQ | lathi khela | Row 10
✅ Saved → RBQ | lathi khela | Row 11
✅ Saved → RBQ | lathi khela | Row 12
✅ Saved → RBQ | lathi khela | Row 13
✅ Saved → RBQ | lathi khela | Row 14
✅ Saved → RBQ | lathi khela | Row 15
✅ Saved → RBQ | lathi khela | Row 16
✅ Saved → RBQ | lathi khela | Row 17
✅ Saved → RBQ | lathi khela | Row 18
✅ Saved → RBQ | lathi khela | Row 19
✅ Saved → RBQ | lathi khela | Row 20
✅ Saved → RBQ | lathi khela | Row 21
✅ Saved → RBQ | lathi khela | Row 22
✅ Saved → RBQ | lathi khela | Row 23
✅ Saved → RBQ | lathi khela | Row 24
✅ Saved → RBQ | lathi khela | Row 25
✅ Saved → RBQ | lathi khela | Row 26
✅ Saved → RBQ | lathi khela | Row 27
✅ Saved → RBQ | lathi khela | Row 28
✅ Saved → RBQ | lathi khela | Row 29
✅ Saved → RBQ | lathi khela | Row 30
✅ Saved → RBQ | lathi khela | Row 31
✅ Saved → RBQ | lathi khela | Row 32
✅ Saved → RBQ | lathi khela | Row 33
✅ Saved → RBQ | lathi khela | Row 34
✅ Saved → RBQ | lathi khela | Row 36
✅ Saved → RBQ | lathi khela | Row 37
✅ Saved → RBQ | lathi khela | Row 38
✅ Saved → RBQ | lathi khela | Row 39
✅ Saved → RBQ | lathi khela | Row 41
✅ Saved → RBQ | lathi khela | Row 42
✅ Saved → RBQ | lathi khela | Row 43
✅ Saved → RBQ | lathi khela | Row 44
✅ Saved → RBQ | lathi khela | Row 45
✅ Saved → RBQ | lathi khela | Row 46
✅ Saved → RBQ | lathi khela | Row 47
✅ Saved → RBQ | lathi khela | Row 48
✅ Saved → RBQ | lathi khela | Row 49
✅ Saved → RBQ | lathi khela | Row 50
✅ Saved → RBQ | lathi khela | Row 51
✅ Saved → RBQ | lathi khela | Row 52
✅ Saved → RBQ | lathi khela | Row 53
✅ Saved → RBQ | lathi khela | Row 54
✅ Saved → RBQ | lathi khela | Row 55
✅ Saved → RBQ | lathi khela | Row 56
✅ Saved → RBQ | lathi khela | Row 57
✅ Saved → RBQ | lathi khela | Row 58
✅ Saved → RBQ | lathi khela | Row 59
✅ Saved → RBQ | lathi khela | Row 60
✅ Saved → RBQ | lathi khela | Row 61
✅ Saved → RBQ | lathi khela | Row 62
✅ Saved → RBQ | lathi khela | Row 63
✅ Saved → RBQ | lathi khela | Row 64
✅ Saved → RBQ | lathi khela | Row 65
✅ Saved → RBQ | lathi khela | Row 66
✅ Saved → RBQ | lathi khela | Row 67
✅ Saved → RBQ | lathi khela | Row 68
✅ Saved → RBQ | lathi khela | Row 69
✅ Saved → RBQ | lathi khela | Row 70
✅ Saved → RBQ | lathi khela | Row 71
✅ Saved → RBQ | lathi khela | Row 72
✅ Saved → RBQ | lathi khela | Row 73
✅ Saved → RBQ | lathi khela | Row 74
✅ Saved → RBQ | lathi khela | Row 75
✅ Saved → RBQ | lathi khela | Row 76
✅ Saved → RBQ | lathi khela | Row 77
✅ Saved → RBQ | lathi khela | Row 78
