Started at: 09:48:35
['/DATA/rohan_kirti/country/sudan/RBQ/Sudan_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/sudan/RBQ/Sudan_RBQ.xlsx
✅ Saved → RBQ | Nuba_Wrestling | Row 1
✅ Saved → RBQ | Nuba_Wrestling | Row 2
✅ Saved → RBQ | Nuba_Wrestling | Row 3
✅ Saved → RBQ | Nuba_Wrestling | Row 4
✅ Saved → RBQ | Nuba_Wrestling | Row 5
✅ Saved → RBQ | Nuba_Wrestling | Row 6
✅ Saved → RBQ | Nuba_Wrestling | Row 7
✅ Saved → RBQ | Nuba_Wrestling | Row 8
✅ Saved → RBQ | Nuba_Wrestling | Row 9
✅ Saved → RBQ | Nuba_Wrestling | Row 10
✅ Saved → RBQ | Nuba_Wrestling | Row 11
✅ Saved → RBQ | Nuba_Wrestling | Row 12
✅ Saved → RBQ | Nuba_Wrestling | Row 13
✅ Saved → RBQ | Nuba_Wrestling | Row 14
✅ Saved → RBQ | Nuba_Wrestling | Row 15
✅ Saved → RBQ | Nuba_Wrestling | Row 16
✅ Saved → RBQ | Nuba_Wrestling | Row 17
✅ Saved → RBQ | Nuba_Wrestling | Row 18
✅ Saved → RBQ | Nuba_Wrestling | Row 19
✅ Saved → RBQ | Nuba_Wrestling | Row 20
✅ Saved → RBQ | Nuba_Wrestling | Row 21
✅ Saved → RBQ | Nuba_Wrestling | Row 22
✅ Saved → RBQ | Nuba_Wrestling | Row 23
✅ Saved → RBQ | Nuba_Wrestling | Row 24
✅ Saved → RBQ | Nuba_Wrestling | Row 25
✅ Saved → RBQ | Nuba_Wrestling | Row 26
✅ Saved → RBQ | Nuba_Wrestling | Row 27
✅ Saved → RBQ | Nuba_Wrestling | Row 28
✅ Saved → RBQ | Nuba_Wrestling | Row 29
✅ Saved → RBQ | Nuba_Wrestling | Row 30
✅ Saved → RBQ | Nuba_Wrestling | Row 31
✅ Saved → RBQ | Nuba_Wrestling | Row 32
✅ Saved → RBQ | Nuba_Wrestling | Row 33
✅ Saved → RBQ | Nuba_Wrestling | Row 34
✅ Saved → RBQ | Nuba_Wrestling | Row 35
✅ Saved → RBQ | Nuba_Wrestling | Row 36
✅ Saved → RBQ | Nuba_Wrestling | Row 37
✅ Saved → RBQ | Nuba_Wrestling | Row 38
✅ Saved → RBQ | Nuba_Wrestling | Row 39
✅ Saved → RBQ | Nuba_Wrestling | Row 40
✅ Saved → RBQ | Nuba_Wrestling | Row 41
✅ Saved → RBQ | Nuba_Wrestling | Row 42
✅ Saved → RBQ | Nuba_Wrestling | Row 43
✅ Saved → RBQ | Nuba_Wrestling | Row 44
✅ Saved → RBQ | Nuba_Wrestling | Row 45
✅ Saved → RBQ | Nuba_Wrestling | Row 46
✅ Saved → RBQ | Nuba_Wrestling | Row 47
✅ Saved → RBQ | Nuba_Wrestling | Row 48
✅ Saved → RBQ | Nuba_Wrestling | Row 49
✅ Saved → RBQ | Nuba_Wrestling | Row 50
✅ Saved → RBQ | Nuba_Wrestling | Row 51
✅ Saved → RBQ | Nuba_Wrestling | Row 52
✅ Saved → RBQ | Nuba_Wrestling | Row 53
✅ Saved → RBQ | Nuba_Wrestling | Row 54
✅ Saved → RBQ | Nuba_Wrestling | Row 55
✅ Saved → RBQ | Nuba_Wrestling | Row 56
✅ Saved → RBQ | Nuba_Wrestling | Row 57
✅ Saved → RBQ | Nuba_Wrestling | Row 58
✅ Saved → RBQ | Nuba_Wrestling | Row 59
✅ Saved → RBQ | Nuba_Wrestling | Row 60
✅ Saved → RBQ | Nuba_Wrestling | Row 61
✅ Saved → RBQ | Nuba_Wrestling | Row 62
✅ Saved → RBQ | Nuba_Wrestling | Row 63
✅ Saved → RBQ | Nuba_Wrestling | Row 64
✅ Saved → RBQ | Nuba_Wrestling | Row 65
✅ Saved → RBQ | Nuba_Wrestling | Row 66
✅ Saved → RBQ | Nuba_Wrestling | Row 67
✅ Saved → RBQ | Nuba_Wrestling | Row 68
✅ Saved → RBQ | Nuba_Wrestling | Row 69
✅ Saved → RBQ | Nuba_Wrestling | Row 70
✅ Saved → RBQ | Nuba_Wrestling | Row 71
✅ Saved → RBQ | Nuba_Wrestling | Row 72
✅ Saved → RBQ | Nuba_Wrestling | Row 73
✅ Saved → RBQ | Nuba_Wrestling | Row 74
✅ Saved → RBQ | Nuba_Wrestling | Row 75
✅ Saved → RBQ | Nuba_Wrestling | Row 76
✅ Saved → RBQ | Nuba_Wrestling | Row 77
✅ Saved → RBQ | Nuba_Wrestling | Row 78
✅ Saved → RBQ | Nuba_Wrestling | Row 79
✅ Saved → RBQ | Nuba_Wrestling | Row 80
✅ Saved → RBQ | Nuba_Wrestling | Row 81
✅ Saved → RBQ | Nuba_Wrestling | Row 82
✅ Saved → RBQ | Nuba_Wrestling | Row 83
✅ Saved → RBQ | Nuba_Wrestling | Row 84
✅ Saved → RBQ | Nuba_Wrestling | Row 85
✅ Saved → RBQ | Nuba_Wrestling | Row 86
✅ Saved → RBQ | Nuba_Wrestling | Row 87
✅ Saved → RBQ | Nuba_Wrestling | Row 88
✅ Saved → RBQ | Nuba_Wrestling | Row 89
✅ Saved → RBQ | Nuba_Wrestling | Row 90
✅ Saved → RBQ | Nuba_Wrestling | Row 91
✅ Saved → RBQ | Nuba_Wrestling | Row 92
✅ Saved → RBQ | Nuba_Wrestling | Row 93
✅ Saved → RBQ | Nuba_Wrestling | Row 94
✅ Saved → RBQ | Nuba_Wrestling | Row 95
✅ Saved → RBQ | Nuba_Wrestling | Row 96
✅ Saved → RBQ | Nuba_Wrestling | Row 97
✅ Saved → RBQ | Nuba_Wrestling | Row 98
✅ Saved → RBQ | Nuba_Wrestling | Row 99
✅ Saved → RBQ | Nuba_Wrestling | Row 100
✅ Saved → RBQ | Nuba_Wrestling | Row 101
✅ Saved → RBQ | Nuba_Wrestling | Row 102
