Started at: 20:28:35
SBQ

📌 Processing: /DATA/rohan_kirti/country/thailand/SBQ/Thailand_SBQ.xlsx
chon wua
✅ Saved → SBQ | chon wua | Row 307
✅ Saved → SBQ | chon wua | Row 308
✅ Saved → SBQ | chon wua | Row 309
✅ Saved → SBQ | chon wua | Row 310
✅ Saved → SBQ | chon wua | Row 311
✅ Saved → SBQ | chon wua | Row 312
✅ Saved → SBQ | chon wua | Row 313
✅ Saved → SBQ | chon wua | Row 314
✅ Saved → SBQ | chon wua | Row 315
✅ Saved → SBQ | chon wua | Row 316
✅ Saved → SBQ | chon wua | Row 317
✅ Saved → SBQ | chon wua | Row 318
✅ Saved → SBQ | chon wua | Row 319
✅ Saved → SBQ | chon wua | Row 321
✅ Saved → SBQ | chon wua | Row 323
✅ Saved → SBQ | chon wua | Row 325
✅ Saved → SBQ | chon wua | Row 326
✅ Saved → SBQ | chon wua | Row 327
✅ Saved → SBQ | chon wua | Row 328
✅ Saved → SBQ | chon wua | Row 329
✅ Saved → SBQ | chon wua | Row 330
✅ Saved → SBQ | chon wua | Row 331
✅ Saved → SBQ | chon wua | Row 332
kaeng ruer
✅ Saved → SBQ | kaeng ruer | Row 0
✅ Saved → SBQ | kaeng ruer | Row 1
✅ Saved → SBQ | kaeng ruer | Row 2
✅ Saved → SBQ | kaeng ruer | Row 3
✅ Saved → SBQ | kaeng ruer | Row 4
✅ Saved → SBQ | kaeng ruer | Row 5
✅ Saved → SBQ | kaeng ruer | Row 6
✅ Saved → SBQ | kaeng ruer | Row 7
✅ Saved → SBQ | kaeng ruer | Row 8
✅ Saved → SBQ | kaeng ruer | Row 9
✅ Saved → SBQ | kaeng ruer | Row 10
✅ Saved → SBQ | kaeng ruer | Row 11
✅ Saved → SBQ | kaeng ruer | Row 12
✅ Saved → SBQ | kaeng ruer | Row 13
✅ Saved → SBQ | kaeng ruer | Row 14
✅ Saved → SBQ | kaeng ruer | Row 15
✅ Saved → SBQ | kaeng ruer | Row 16
✅ Saved → SBQ | kaeng ruer | Row 17
✅ Saved → SBQ | kaeng ruer | Row 18
✅ Saved → SBQ | kaeng ruer | Row 19
✅ Saved → SBQ | kaeng ruer | Row 20
✅ Saved → SBQ | kaeng ruer | Row 21
✅ Saved → SBQ | kaeng ruer | Row 22
✅ Saved → SBQ | kaeng ruer | Row 23
✅ Saved → SBQ | kaeng ruer | Row 24
✅ Saved → SBQ | kaeng ruer | Row 25
✅ Saved → SBQ | kaeng ruer | Row 26
✅ Saved → SBQ | kaeng ruer | Row 27
✅ Saved → SBQ | kaeng ruer | Row 28
✅ Saved → SBQ | kaeng ruer | Row 29
✅ Saved → SBQ | kaeng ruer | Row 30
✅ Saved → SBQ | kaeng ruer | Row 31
✅ Saved → SBQ | kaeng ruer | Row 32
✅ Saved → SBQ | kaeng ruer | Row 33
✅ Saved → SBQ | kaeng ruer | Row 34
✅ Saved → SBQ | kaeng ruer | Row 35
✅ Saved → SBQ | kaeng ruer | Row 36
✅ Saved → SBQ | kaeng ruer | Row 37
✅ Saved → SBQ | kaeng ruer | Row 38
✅ Saved → SBQ | kaeng ruer | Row 39
✅ Saved → SBQ | kaeng ruer | Row 40
✅ Saved → SBQ | kaeng ruer | Row 41
✅ Saved → SBQ | kaeng ruer | Row 42
✅ Saved → SBQ | kaeng ruer | Row 43
✅ Saved → SBQ | kaeng ruer | Row 44
✅ Saved → SBQ | kaeng ruer | Row 45
✅ Saved → SBQ | kaeng ruer | Row 46
✅ Saved → SBQ | kaeng ruer | Row 47
✅ Saved → SBQ | kaeng ruer | Row 48
✅ Saved → SBQ | kaeng ruer | Row 49
✅ Saved → SBQ | kaeng ruer | Row 50
✅ Saved → SBQ | kaeng ruer | Row 51
✅ Saved → SBQ | kaeng ruer | Row 52
✅ Saved → SBQ | kaeng ruer | Row 53
✅ Saved → SBQ | kaeng ruer | Row 54
✅ Saved → SBQ | kaeng ruer | Row 55
✅ Saved → SBQ | kaeng ruer | Row 56
✅ Saved → SBQ | kaeng ruer | Row 57
✅ Saved → SBQ | kaeng ruer | Row 58
✅ Saved → SBQ | kaeng ruer | Row 59
✅ Saved → SBQ | kaeng ruer | Row 60
✅ Saved → SBQ | kaeng ruer | Row 61
✅ Saved → SBQ | kaeng ruer | Row 62
✅ Saved → SBQ | kaeng ruer | Row 63
✅ Saved → SBQ | kaeng ruer | Row 64
✅ Saved → SBQ | kaeng ruer | Row 65
✅ Saved → SBQ | kaeng ruer | Row 66
✅ Saved → SBQ | kaeng ruer | Row 67
✅ Saved → SBQ | kaeng ruer | Row 68
✅ Saved → SBQ | kaeng ruer | Row 69
✅ Saved → SBQ | kaeng ruer | Row 70
✅ Saved → SBQ | kaeng ruer | Row 71
✅ Saved → SBQ | kaeng ruer | Row 72
✅ Saved → SBQ | kaeng ruer | Row 73
✅ Saved → SBQ | kaeng ruer | Row 74
✅ Saved → SBQ | kaeng ruer | Row 75
✅ Saved → SBQ | kaeng ruer | Row 76
✅ Saved → SBQ | kaeng ruer | Row 77
✅ Saved → SBQ | kaeng ruer | Row 78
✅ Saved → SBQ | kaeng ruer | Row 79
✅ Saved → SBQ | kaeng ruer | Row 80
✅ Saved → SBQ | kaeng ruer | Row 81
✅ Saved → SBQ | kaeng ruer | Row 82
✅ Saved → SBQ | kaeng ruer | Row 83
✅ Saved → SBQ | kaeng ruer | Row 84
✅ Saved → SBQ | kaeng ruer | Row 85
✅ Saved → SBQ | kaeng ruer | Row 86
✅ Saved → SBQ | kaeng ruer | Row 87
✅ Saved → SBQ | kaeng ruer | Row 88
✅ Saved → SBQ | kaeng ruer | Row 89
✅ Saved → SBQ | kaeng ruer | Row 90
✅ Saved → SBQ | kaeng ruer | Row 91
✅ Saved → SBQ | kaeng ruer | Row 92
✅ Saved → SBQ | kaeng ruer | Row 93
✅ Saved → SBQ | kaeng ruer | Row 94
✅ Saved → SBQ | kaeng ruer | Row 95
