Started at: 10:34:43

📌 Processing: /DATA/rohan_kirti/country/Bengali/SBQ/Bangladesh_SBQ.xlsx
✅ Saved → SBQ | golla chut | Row 98
✅ Saved → SBQ | golla chut | Row 99
✅ Saved → SBQ | golla chut | Row 100
✅ Saved → SBQ | golla chut | Row 101
✅ Saved → SBQ | golla chut | Row 102
✅ Saved → SBQ | golla chut | Row 103
✅ Saved → SBQ | golla chut | Row 104
✅ Saved → SBQ | golla chut | Row 105
✅ Saved → SBQ | golla chut | Row 106
✅ Saved → SBQ | golla chut | Row 107
✅ Saved → SBQ | golla chut | Row 108
✅ Saved → SBQ | golla chut | Row 109
✅ Saved → SBQ | golla chut | Row 110
✅ Saved → SBQ | golla chut | Row 111
✅ Saved → SBQ | golla chut | Row 112
✅ Saved → SBQ | golla chut | Row 113
✅ Saved → SBQ | golla chut | Row 114
✅ Saved → SBQ | golla chut | Row 115
✅ Saved → SBQ | golla chut | Row 116
✅ Saved → SBQ | golla chut | Row 117
✅ Saved → SBQ | golla chut | Row 118
✅ Saved → SBQ | golla chut | Row 119
✅ Saved → SBQ | golla chut | Row 120
✅ Saved → SBQ | golla chut | Row 121
✅ Saved → SBQ | golla chut | Row 122
✅ Saved → SBQ | golla chut | Row 123
✅ Saved → SBQ | golla chut | Row 124
✅ Saved → SBQ | ha du du | Row 0
✅ Saved → SBQ | ha du du | Row 1
✅ Saved → SBQ | ha du du | Row 2
✅ Saved → SBQ | ha du du | Row 3
✅ Saved → SBQ | ha du du | Row 4
✅ Saved → SBQ | ha du du | Row 5
✅ Saved → SBQ | ha du du | Row 6
✅ Saved → SBQ | ha du du | Row 7
✅ Saved → SBQ | ha du du | Row 8
✅ Saved → SBQ | ha du du | Row 9
✅ Saved → SBQ | ha du du | Row 10
✅ Saved → SBQ | ha du du | Row 11
✅ Saved → SBQ | ha du du | Row 12
✅ Saved → SBQ | ha du du | Row 13
✅ Saved → SBQ | ha du du | Row 14
✅ Saved → SBQ | ha du du | Row 15
✅ Saved → SBQ | ha du du | Row 16
✅ Saved → SBQ | ha du du | Row 17
✅ Saved → SBQ | ha du du | Row 18
✅ Saved → SBQ | ha du du | Row 19
✅ Saved → SBQ | ha du du | Row 20
✅ Saved → SBQ | ha du du | Row 21
✅ Saved → SBQ | ha du du | Row 22
✅ Saved → SBQ | ha du du | Row 23
✅ Saved → SBQ | ha du du | Row 24
✅ Saved → SBQ | ha du du | Row 25
✅ Saved → SBQ | ha du du | Row 26
✅ Saved → SBQ | ha du du | Row 27
✅ Saved → SBQ | ha du du | Row 28
✅ Saved → SBQ | ha du du | Row 29
✅ Saved → SBQ | ha du du | Row 30
✅ Saved → SBQ | ha du du | Row 31
✅ Saved → SBQ | ha du du | Row 32
✅ Saved → SBQ | ha du du | Row 33
✅ Saved → SBQ | ha du du | Row 34
✅ Saved → SBQ | ha du du | Row 35
✅ Saved → SBQ | ha du du | Row 36
✅ Saved → SBQ | ha du du | Row 37
✅ Saved → SBQ | ha du du | Row 38
✅ Saved → SBQ | ha du du | Row 39
✅ Saved → SBQ | ha du du | Row 40
✅ Saved → SBQ | ha du du | Row 41
✅ Saved → SBQ | ha du du | Row 42
✅ Saved → SBQ | ha du du | Row 43
✅ Saved → SBQ | ha du du | Row 44
✅ Saved → SBQ | ha du du | Row 45
✅ Saved → SBQ | ha du du | Row 46
✅ Saved → SBQ | ha du du | Row 47
✅ Saved → SBQ | ha du du | Row 48
✅ Saved → SBQ | ha du du | Row 49
✅ Saved → SBQ | ha du du | Row 50
✅ Saved → SBQ | ha du du | Row 51
✅ Saved → SBQ | ha du du | Row 52
✅ Saved → SBQ | ha du du | Row 53
✅ Saved → SBQ | ha du du | Row 54
