Started at: 21:01:42
['/DATA/rohan_kirti/country/ethopia/RBQ/Ethopia_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/ethopia/RBQ/Ethopia_RBQ.xlsx
✅ Saved → RBQ | Yeferas Guks | Row 118
✅ Saved → RBQ | Yeferas Guks | Row 119
✅ Saved → RBQ | Yeferas Guks | Row 121
✅ Saved → RBQ | Yeferas Guks | Row 122
✅ Saved → RBQ | Yeferas Guks | Row 123
✅ Saved → RBQ | Yeferas Guks | Row 124
✅ Saved → RBQ | Yeferas Guks | Row 125
✅ Saved → RBQ | Yeferas Guks | Row 127
✅ Saved → RBQ | Yeferas Guks | Row 129
✅ Saved → RBQ | Yeferas Guks | Row 130
✅ Saved → RBQ | Yeferas Guks | Row 131
✅ Saved → RBQ | Yeferas Guks | Row 132
✅ Saved → RBQ | Yeferas Guks | Row 133
✅ Saved → RBQ | Yeferas Guks | Row 134
✅ Saved → RBQ | Yeferas Guks | Row 135
✅ Saved → RBQ | Yeferas Guks | Row 136
✅ Saved → RBQ | Yeferas Guks | Row 137
✅ Saved → RBQ | Yeferas Guks | Row 138
✅ Saved → RBQ | Yeferas Guks | Row 139
✅ Saved → RBQ | Yeferas Guks | Row 141
✅ Saved → RBQ | Yeferas Guks | Row 142
✅ Saved → RBQ | Yeferas Guks | Row 143
✅ Saved → RBQ | Yeferas Guks | Row 144
✅ Saved → RBQ | Yeferas Guks | Row 145
✅ Saved → RBQ | Yeferas Guks | Row 146
✅ Saved → RBQ | Yeferas Guks | Row 147
✅ Saved → RBQ | Yeferas Guks | Row 148
✅ Saved → RBQ | Yeferas Guks | Row 149
✅ Saved → RBQ | Traditional Running | Row 0
✅ Saved → RBQ | Traditional Running | Row 1
✅ Saved → RBQ | Traditional Running | Row 2
✅ Saved → RBQ | Traditional Running | Row 3
✅ Saved → RBQ | Traditional Running | Row 4
✅ Saved → RBQ | Traditional Running | Row 5
✅ Saved → RBQ | Traditional Running | Row 6
✅ Saved → RBQ | Traditional Running | Row 7
✅ Saved → RBQ | Traditional Running | Row 8
✅ Saved → RBQ | Traditional Running | Row 9
✅ Saved → RBQ | Traditional Running | Row 10
✅ Saved → RBQ | Traditional Running | Row 11
✅ Saved → RBQ | Traditional Running | Row 12
✅ Saved → RBQ | Traditional Running | Row 13
✅ Saved → RBQ | Traditional Running | Row 14
✅ Saved → RBQ | Traditional Running | Row 15
✅ Saved → RBQ | Traditional Running | Row 16
✅ Saved → RBQ | Traditional Running | Row 17
✅ Saved → RBQ | Traditional Running | Row 18
✅ Saved → RBQ | Traditional Running | Row 19
✅ Saved → RBQ | Traditional Running | Row 20
✅ Saved → RBQ | Traditional Running | Row 21
✅ Saved → RBQ | Traditional Running | Row 22
✅ Saved → RBQ | Traditional Running | Row 23
✅ Saved → RBQ | Traditional Running | Row 24
✅ Saved → RBQ | Traditional Running | Row 25
✅ Saved → RBQ | Traditional Running | Row 26
✅ Saved → RBQ | Traditional Running | Row 27
✅ Saved → RBQ | Traditional Running | Row 28
✅ Saved → RBQ | Traditional Running | Row 29
✅ Saved → RBQ | Traditional Running | Row 30
✅ Saved → RBQ | Traditional Running | Row 31
✅ Saved → RBQ | Traditional Running | Row 32
✅ Saved → RBQ | Traditional Running | Row 33
✅ Saved → RBQ | Traditional Running | Row 34
✅ Saved → RBQ | Traditional Running | Row 35
✅ Saved → RBQ | Traditional Running | Row 36
✅ Saved → RBQ | Traditional Running | Row 37
✅ Saved → RBQ | Traditional Running | Row 38
✅ Saved → RBQ | Traditional Running | Row 39
✅ Saved → RBQ | Traditional Running | Row 40
✅ Saved → RBQ | Traditional Running | Row 41
✅ Saved → RBQ | Traditional Running | Row 42
