Started at: 20:59:32
['C:\\Users\\nilad\\Documents\\country-dataset\\italy\\IBQ\\IBQ_Italy.xlsx']

-> Processing: C:\Users\nilad\Documents\country-dataset\italy\IBQ\IBQ_Italy.xlsx
[ERROR] Error on row 25: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
[SAVED] -> IBQ | Morra | Row 25
[SAVED] -> IBQ | Morra | Row 26
[SAVED] -> IBQ | Morra | Row 27
[SAVED] -> IBQ | Morra | Row 28
[SAVED] -> IBQ | Morra | Row 29
[SAVED] -> IBQ | Morra | Row 30
[SAVED] -> IBQ | Morra | Row 31
[SAVED] -> IBQ | Morra | Row 32
[SAVED] -> IBQ | Morra | Row 33
[SAVED] -> IBQ | Morra | Row 34
[SAVED] -> IBQ | Morra | Row 35
[SAVED] -> IBQ | Morra | Row 36
[SAVED] -> IBQ | Morra | Row 37
[SAVED] -> IBQ | Morra | Row 38
[SAVED] -> IBQ | Morra | Row 39
[SAVED] -> IBQ | Morra | Row 40
[SAVED] -> IBQ | Morra | Row 41
[SAVED] -> IBQ | Morra | Row 42
[SAVED] -> IBQ | Morra | Row 43
[SAVED] -> IBQ | Morra | Row 44
[SAVED] -> IBQ | Morra | Row 46
[SAVED] -> IBQ | Morra | Row 47
[SAVED] -> IBQ | Morra | Row 48
[SAVED] -> IBQ | Morra | Row 49
[SAVED] -> IBQ | Morra | Row 50
[SAVED] -> IBQ | Morra | Row 51
[SAVED] -> IBQ | Morra | Row 52
[SAVED] -> IBQ | Morra | Row 53
[SAVED] -> IBQ | Morra | Row 54
[SAVED] -> IBQ | Morra | Row 56
[SAVED] -> IBQ | Morra | Row 57
[SAVED] -> IBQ | Morra | Row 58
[SAVED] -> IBQ | Morra | Row 59

[COMPLETE]!
Live-updating CSV: Results_IBQ.csv
Ended at: 21:17:02
Total Duration: 0:17:30.659349
[SUCCESS] Successfully created 'Results_IBQ.xlsx'
