Started at: 20:36:44
SBQ

📌 Processing: /DATA/rohan_kirti/country/france/SBQ/France_SBQ.xlsx
Joutes
✅ Saved → SBQ | Pelota | Row 70
✅ Saved → SBQ | Pelota | Row 71
✅ Saved → SBQ | Pelota | Row 72
✅ Saved → SBQ | Pelota | Row 73
✅ Saved → SBQ | Pelota | Row 74
✅ Saved → SBQ | Pelota | Row 75
✅ Saved → SBQ | Pelota | Row 76
✅ Saved → SBQ | Pelota | Row 77
✅ Saved → SBQ | Pelota | Row 78
✅ Saved → SBQ | Pelota | Row 79
✅ Saved → SBQ | Pelota | Row 80
✅ Saved → SBQ | Pelota | Row 81
✅ Saved → SBQ | Pelota | Row 82
✅ Saved → SBQ | Pelota | Row 83
✅ Saved → SBQ | Pelota | Row 84
✅ Saved → SBQ | Pelota | Row 85
✅ Saved → SBQ | Pelota | Row 86
✅ Saved → SBQ | Pelota | Row 87
✅ Saved → SBQ | Pelota | Row 88
✅ Saved → SBQ | Pelota | Row 89
✅ Saved → SBQ | Pelota | Row 90
✅ Saved → SBQ | Pelota | Row 91
✅ Saved → SBQ | Pelota | Row 92
✅ Saved → SBQ | Pelota | Row 93
✅ Saved → SBQ | Pelota | Row 95
✅ Saved → SBQ | Pelota | Row 96
✅ Saved → SBQ | Pelota | Row 97
✅ Saved → SBQ | Pelota | Row 99
✅ Saved → SBQ | Pelota | Row 100
✅ Saved → SBQ | Pelota | Row 102
✅ Saved → SBQ | Pelota | Row 103
✅ Saved → SBQ | Pelota | Row 104
✅ Saved → SBQ | Pelota | Row 108
✅ Saved → SBQ | Pelota | Row 112
✅ Saved → SBQ | Pelota | Row 118
Gouren
✅ Saved → SBQ | Gouren | Row 0
✅ Saved → SBQ | Gouren | Row 1
✅ Saved → SBQ | Gouren | Row 2
✅ Saved → SBQ | Gouren | Row 3
✅ Saved → SBQ | Gouren | Row 4
✅ Saved → SBQ | Gouren | Row 5
✅ Saved → SBQ | Gouren | Row 6
✅ Saved → SBQ | Gouren | Row 7
✅ Saved → SBQ | Gouren | Row 8
✅ Saved → SBQ | Gouren | Row 9
✅ Saved → SBQ | Gouren | Row 10
✅ Saved → SBQ | Gouren | Row 11
✅ Saved → SBQ | Gouren | Row 12
✅ Saved → SBQ | Gouren | Row 13
✅ Saved → SBQ | Gouren | Row 14
✅ Saved → SBQ | Gouren | Row 15
✅ Saved → SBQ | Gouren | Row 16
✅ Saved → SBQ | Gouren | Row 17
✅ Saved → SBQ | Gouren | Row 18
✅ Saved → SBQ | Gouren | Row 19
✅ Saved → SBQ | Gouren | Row 20
✅ Saved → SBQ | Gouren | Row 21
✅ Saved → SBQ | Gouren | Row 22
✅ Saved → SBQ | Gouren | Row 23
✅ Saved → SBQ | Gouren | Row 24
✅ Saved → SBQ | Gouren | Row 25
✅ Saved → SBQ | Gouren | Row 26
✅ Saved → SBQ | Gouren | Row 27
✅ Saved → SBQ | Gouren | Row 28
✅ Saved → SBQ | Gouren | Row 29
✅ Saved → SBQ | Gouren | Row 30
✅ Saved → SBQ | Gouren | Row 31
✅ Saved → SBQ | Gouren | Row 32
✅ Saved → SBQ | Gouren | Row 33
✅ Saved → SBQ | Gouren | Row 34
✅ Saved → SBQ | Gouren | Row 35
✅ Saved → SBQ | Gouren | Row 36
✅ Saved → SBQ | Gouren | Row 37
✅ Saved → SBQ | Gouren | Row 38
✅ Saved → SBQ | Gouren | Row 39
✅ Saved → SBQ | Gouren | Row 41
✅ Saved → SBQ | Gouren | Row 42
✅ Saved → SBQ | Gouren | Row 43
✅ Saved → SBQ | Gouren | Row 44
✅ Saved → SBQ | Gouren | Row 45
✅ Saved → SBQ | Gouren | Row 47
✅ Saved → SBQ | Gouren | Row 48
✅ Saved → SBQ | Gouren | Row 49
