Started at: 09:18:10
['/DATA/rohan_kirti/country/germany/RBQ/Germany_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/germany/RBQ/Germany_RBQ.xlsx
✅ Saved → RBQ | Bosseln | Row 86
✅ Saved → RBQ | Bosseln | Row 87
✅ Saved → RBQ | Bosseln | Row 88
✅ Saved → RBQ | Bosseln | Row 89
✅ Saved → RBQ | Bosseln | Row 90
✅ Saved → RBQ | Bosseln | Row 91
✅ Saved → RBQ | Bosseln | Row 92
✅ Saved → RBQ | Bosseln | Row 93
✅ Saved → RBQ | Bosseln | Row 94
✅ Saved → RBQ | Bosseln | Row 95
✅ Saved → RBQ | Bosseln | Row 96
✅ Saved → RBQ | Bosseln | Row 97
✅ Saved → RBQ | Bosseln | Row 98
✅ Saved → RBQ | Bosseln | Row 99
✅ Saved → RBQ | Bosseln | Row 100
✅ Saved → RBQ | Bosseln | Row 101
✅ Saved → RBQ | Bosseln | Row 102
✅ Saved → RBQ | Bosseln | Row 103
✅ Saved → RBQ | Bosseln | Row 104
✅ Saved → RBQ | Bosseln | Row 105
✅ Saved → RBQ | Bosseln | Row 106
✅ Saved → RBQ | Bosseln | Row 107
✅ Saved → RBQ | Bosseln | Row 108
✅ Saved → RBQ | Bosseln | Row 110
✅ Saved → RBQ | Bosseln | Row 111
✅ Saved → RBQ | Bosseln | Row 113
✅ Saved → RBQ | Bosseln | Row 114
✅ Saved → RBQ | Bosseln | Row 115
✅ Saved → RBQ | Bosseln | Row 116
✅ Saved → RBQ | Bosseln | Row 117
✅ Saved → RBQ | Bosseln | Row 119
✅ Saved → RBQ | Bosseln | Row 122
✅ Saved → RBQ | Bosseln | Row 123
✅ Saved → RBQ | Bosseln | Row 124
✅ Saved → RBQ | Bosseln | Row 125
✅ Saved → RBQ | Bosseln | Row 128
✅ Saved → RBQ | Bosseln | Row 130
✅ Saved → RBQ | Bosseln | Row 132
✅ Saved → RBQ | Bosseln | Row 134
✅ Saved → RBQ | Bosseln | Row 135
✅ Saved → RBQ | Bosseln | Row 136
✅ Saved → RBQ | Bosseln | Row 137
✅ Saved → RBQ | Bosseln | Row 138
✅ Saved → RBQ | Bosseln | Row 139
✅ Saved → RBQ | Bosseln | Row 140
✅ Saved → RBQ | Bosseln | Row 141
✅ Saved → RBQ | Bosseln | Row 142
✅ Saved → RBQ | Bosseln | Row 143
✅ Saved → RBQ | Bosseln | Row 144
✅ Saved → RBQ | Bosseln | Row 145
✅ Saved → RBQ | Bosseln | Row 146
✅ Saved → RBQ | Bosseln | Row 147
✅ Saved → RBQ | Bosseln | Row 148
✅ Saved → RBQ | Bosseln | Row 149
✅ Saved → RBQ | Bosseln | Row 150
✅ Saved → RBQ | Bosseln | Row 151
✅ Saved → RBQ | Bosseln | Row 152
✅ Saved → RBQ | Bosseln | Row 153
✅ Saved → RBQ | Bosseln | Row 154
✅ Saved → RBQ | Bosseln | Row 155
✅ Saved → RBQ | Bosseln | Row 156
✅ Saved → RBQ | Bosseln | Row 157
✅ Saved → RBQ | Bosseln | Row 158
✅ Saved → RBQ | Bosseln | Row 159
✅ Saved → RBQ | Bosseln | Row 160
✅ Saved → RBQ | Bosseln | Row 161
✅ Saved → RBQ | Bosseln | Row 162
✅ Saved → RBQ | Bosseln | Row 163
✅ Saved → RBQ | Bosseln | Row 164
✅ Saved → RBQ | Bosseln | Row 165
✅ Saved → RBQ | Bosseln | Row 166
✅ Saved → RBQ | Bosseln | Row 167
✅ Saved → RBQ | Bosseln | Row 168
✅ Saved → RBQ | Bosseln | Row 169
✅ Saved → RBQ | Bosseln | Row 170
✅ Saved → RBQ | Bosseln | Row 171
✅ Saved → RBQ | Bosseln | Row 172
✅ Saved → RBQ | Bosseln | Row 173
✅ Saved → RBQ | Bosseln | Row 174
✅ Saved → RBQ | Bosseln | Row 175
✅ Saved → RBQ | Bosseln | Row 176
✅ Saved → RBQ | Bosseln | Row 177
✅ Saved → RBQ | Bosseln | Row 178
✅ Saved → RBQ | Bosseln | Row 179
✅ Saved → RBQ | Klootschießen | Row 0
✅ Saved → RBQ | Klootschießen | Row 1
✅ Saved → RBQ | Klootschießen | Row 2
✅ Saved → RBQ | Klootschießen | Row 3
✅ Saved → RBQ | Klootschießen | Row 4
✅ Saved → RBQ | Klootschießen | Row 5
✅ Saved → RBQ | Klootschießen | Row 6
✅ Saved → RBQ | Klootschießen | Row 7
✅ Saved → RBQ | Klootschießen | Row 8
✅ Saved → RBQ | Klootschießen | Row 9
✅ Saved → RBQ | Klootschießen | Row 10
✅ Saved → RBQ | Klootschießen | Row 11
✅ Saved → RBQ | Klootschießen | Row 12
✅ Saved → RBQ | Klootschießen | Row 13
✅ Saved → RBQ | Klootschießen | Row 14
✅ Saved → RBQ | Klootschießen | Row 15
✅ Saved → RBQ | Klootschießen | Row 16
✅ Saved → RBQ | Klootschießen | Row 17
✅ Saved → RBQ | Klootschießen | Row 18
✅ Saved → RBQ | Klootschießen | Row 19
✅ Saved → RBQ | Klootschießen | Row 20
✅ Saved → RBQ | Klootschießen | Row 21
✅ Saved → RBQ | Klootschießen | Row 22
✅ Saved → RBQ | Klootschießen | Row 23
✅ Saved → RBQ | Klootschießen | Row 24
✅ Saved → RBQ | Klootschießen | Row 25
✅ Saved → RBQ | Klootschießen | Row 26
✅ Saved → RBQ | Klootschießen | Row 27
✅ Saved → RBQ | Klootschießen | Row 28
✅ Saved → RBQ | Klootschießen | Row 29
✅ Saved → RBQ | Klootschießen | Row 30
✅ Saved → RBQ | Klootschießen | Row 31
✅ Saved → RBQ | Klootschießen | Row 32
✅ Saved → RBQ | Klootschießen | Row 33
✅ Saved → RBQ | Klootschießen | Row 34
✅ Saved → RBQ | Klootschießen | Row 35
✅ Saved → RBQ | Klootschießen | Row 36
✅ Saved → RBQ | Klootschießen | Row 37
✅ Saved → RBQ | Klootschießen | Row 38
✅ Saved → RBQ | Klootschießen | Row 39
✅ Saved → RBQ | Klootschießen | Row 40
✅ Saved → RBQ | Klootschießen | Row 41
✅ Saved → RBQ | Klootschießen | Row 42
✅ Saved → RBQ | Klootschießen | Row 43
✅ Saved → RBQ | Klootschießen | Row 44
✅ Saved → RBQ | Klootschießen | Row 45
✅ Saved → RBQ | Klootschießen | Row 46
✅ Saved → RBQ | Klootschießen | Row 47
✅ Saved → RBQ | Klootschießen | Row 48
✅ Saved → RBQ | Klootschießen | Row 49
✅ Saved → RBQ | Klootschießen | Row 50
✅ Saved → RBQ | Klootschießen | Row 51
✅ Saved → RBQ | Klootschießen | Row 52
✅ Saved → RBQ | Klootschießen | Row 53
✅ Saved → RBQ | Klootschießen | Row 54
✅ Saved → RBQ | Klootschießen | Row 55
✅ Saved → RBQ | Klootschießen | Row 56
✅ Saved → RBQ | Klootschießen | Row 57
✅ Saved → RBQ | Klootschießen | Row 58
✅ Saved → RBQ | Klootschießen | Row 59
✅ Saved → RBQ | Klootschießen | Row 60
✅ Saved → RBQ | Klootschießen | Row 61
✅ Saved → RBQ | Klootschießen | Row 62
✅ Saved → RBQ | Klootschießen | Row 63
✅ Saved → RBQ | Klootschießen | Row 64
✅ Saved → RBQ | Klootschießen | Row 65
✅ Saved → RBQ | Klootschießen | Row 66
✅ Saved → RBQ | Klootschießen | Row 67
✅ Saved → RBQ | Klootschießen | Row 68
✅ Saved → RBQ | Klootschießen | Row 70
✅ Saved → RBQ | Klootschießen | Row 71
✅ Saved → RBQ | Klootschießen | Row 72
✅ Saved → RBQ | Klootschießen | Row 73
✅ Saved → RBQ | Klootschießen | Row 74
✅ Saved → RBQ | Klootschießen | Row 75
✅ Saved → RBQ | Klootschießen | Row 76
✅ Saved → RBQ | Klootschießen | Row 77
✅ Saved → RBQ | Klootschießen | Row 78
✅ Saved → RBQ | Klootschießen | Row 79
✅ Saved → RBQ | Klootschießen | Row 80
✅ Saved → RBQ | Klootschießen | Row 81
✅ Saved → RBQ | Klootschießen | Row 82
✅ Saved → RBQ | Klootschießen | Row 83
✅ Saved → RBQ | Klootschießen | Row 84
✅ Saved → RBQ | Klootschießen | Row 85
✅ Saved → RBQ | Klootschießen | Row 86
✅ Saved → RBQ | Klootschießen | Row 87
✅ Saved → RBQ | Klootschießen | Row 88
✅ Saved → RBQ | Klootschießen | Row 89
✅ Saved → RBQ | Klootschießen | Row 90
✅ Saved → RBQ | Klootschießen | Row 91
✅ Saved → RBQ | Klootschießen | Row 93
✅ Saved → RBQ | Klootschießen | Row 94
✅ Saved → RBQ | Klootschießen | Row 95
✅ Saved → RBQ | Klootschießen | Row 96
✅ Saved → RBQ | Klootschießen | Row 97
✅ Saved → RBQ | Klootschießen | Row 98
✅ Saved → RBQ | Klootschießen | Row 100
✅ Saved → RBQ | Klootschießen | Row 101
✅ Saved → RBQ | Klootschießen | Row 102
✅ Saved → RBQ | Klootschießen | Row 103
✅ Saved → RBQ | Klootschießen | Row 104
✅ Saved → RBQ | Klootschießen | Row 105
✅ Saved → RBQ | Klootschießen | Row 106
✅ Saved → RBQ | Klootschießen | Row 107
✅ Saved → RBQ | Klootschießen | Row 108
✅ Saved → RBQ | Klootschießen | Row 109
✅ Saved → RBQ | Klootschießen | Row 110
✅ Saved → RBQ | Klootschießen | Row 111
✅ Saved → RBQ | Klootschießen | Row 112
✅ Saved → RBQ | Klootschießen | Row 113
✅ Saved → RBQ | Klootschießen | Row 114
✅ Saved → RBQ | Klootschießen | Row 115
✅ Saved → RBQ | Klootschießen | Row 116
✅ Saved → RBQ | Klootschießen | Row 117
✅ Saved → RBQ | Klootschießen | Row 118
✅ Saved → RBQ | Klootschießen | Row 119
✅ Saved → RBQ | Klootschießen | Row 120
✅ Saved → RBQ | Klootschießen | Row 121
✅ Saved → RBQ | Klootschießen | Row 122
✅ Saved → RBQ | Klootschießen | Row 123
✅ Saved → RBQ | Klootschießen | Row 124
✅ Saved → RBQ | Klootschießen | Row 125
✅ Saved → RBQ | Klootschießen | Row 126
✅ Saved → RBQ | Klootschießen | Row 127
✅ Saved → RBQ | Klootschießen | Row 129
✅ Saved → RBQ | Klootschießen | Row 130
✅ Saved → RBQ | Klootschießen | Row 131
✅ Saved → RBQ | Klootschießen | Row 132
✅ Saved → RBQ | Klootschießen | Row 133
✅ Saved → RBQ | Klootschießen | Row 134
✅ Saved → RBQ | Klootschießen | Row 135
✅ Saved → RBQ | Klootschießen | Row 136
✅ Saved → RBQ | Klootschießen | Row 137
✅ Saved → RBQ | Klootschießen | Row 138
✅ Saved → RBQ | Klootschießen | Row 139
✅ Saved → RBQ | Klootschießen | Row 140
✅ Saved → RBQ | Klootschießen | Row 141
✅ Saved → RBQ | Klootschießen | Row 142
✅ Saved → RBQ | Klootschießen | Row 143
✅ Saved → RBQ | Klootschießen | Row 144
