Started at: 21:03:19

📌 Processing: /DATA/rohan_kirti/country/ethopia/HBQ/Ethopia_HBQ.xlsx
✅ Saved → HBQ | Yeferas Guks | Row 129
✅ Saved → HBQ | Yeferas Guks | Row 130
✅ Saved → HBQ | Yeferas Guks | Row 131
✅ Saved → HBQ | Yeferas Guks | Row 132
✅ Saved → HBQ | Yeferas Guks | Row 133
✅ Saved → HBQ | Yeferas Guks | Row 134
✅ Saved → HBQ | Yeferas Guks | Row 135
✅ Saved → HBQ | Yeferas Guks | Row 136
✅ Saved → HBQ | Yeferas Guks | Row 137
✅ Saved → HBQ | Yeferas Guks | Row 138
✅ Saved → HBQ | Yeferas Guks | Row 139
✅ Saved → HBQ | Yeferas Guks | Row 140
✅ Saved → HBQ | Yeferas Guks | Row 141
✅ Saved → HBQ | Traditional Running | Row 0
✅ Saved → HBQ | Traditional Running | Row 1
✅ Saved → HBQ | Traditional Running | Row 2
✅ Saved → HBQ | Traditional Running | Row 3
✅ Saved → HBQ | Traditional Running | Row 4
✅ Saved → HBQ | Traditional Running | Row 5
✅ Saved → HBQ | Traditional Running | Row 6
✅ Saved → HBQ | Traditional Running | Row 7
✅ Saved → HBQ | Traditional Running | Row 8
✅ Saved → HBQ | Traditional Running | Row 9
✅ Saved → HBQ | Traditional Running | Row 10
✅ Saved → HBQ | Traditional Running | Row 11
✅ Saved → HBQ | Traditional Running | Row 12
✅ Saved → HBQ | Traditional Running | Row 13
✅ Saved → HBQ | Traditional Running | Row 14
✅ Saved → HBQ | Traditional Running | Row 15
✅ Saved → HBQ | Traditional Running | Row 16
✅ Saved → HBQ | Traditional Running | Row 17
✅ Saved → HBQ | Traditional Running | Row 18
✅ Saved → HBQ | Traditional Running | Row 19
✅ Saved → HBQ | Traditional Running | Row 20
✅ Saved → HBQ | Traditional Running | Row 21
✅ Saved → HBQ | Traditional Running | Row 22
✅ Saved → HBQ | Traditional Running | Row 23
✅ Saved → HBQ | Traditional Running | Row 24
✅ Saved → HBQ | Traditional Running | Row 25
✅ Saved → HBQ | Traditional Running | Row 26
✅ Saved → HBQ | Traditional Running | Row 27
✅ Saved → HBQ | Traditional Running | Row 28
✅ Saved → HBQ | Traditional Running | Row 29
✅ Saved → HBQ | Traditional Running | Row 30
✅ Saved → HBQ | Traditional Running | Row 31
✅ Saved → HBQ | Traditional Running | Row 32
✅ Saved → HBQ | Traditional Running | Row 33
✅ Saved → HBQ | Traditional Running | Row 34
✅ Saved → HBQ | Traditional Running | Row 35
✅ Saved → HBQ | Traditional Running | Row 36
✅ Saved → HBQ | Traditional Running | Row 37
✅ Saved → HBQ | Traditional Running | Row 38
✅ Saved → HBQ | Traditional Running | Row 39
✅ Saved → HBQ | Traditional Running | Row 40
✅ Saved → HBQ | Traditional Running | Row 41
✅ Saved → HBQ | Traditional Running | Row 42
✅ Saved → HBQ | Traditional Running | Row 43
✅ Saved → HBQ | Traditional Running | Row 44
✅ Saved → HBQ | Traditional Running | Row 45
✅ Saved → HBQ | Traditional Running | Row 46
✅ Saved → HBQ | Traditional Running | Row 47
✅ Saved → HBQ | Traditional Running | Row 48
✅ Saved → HBQ | Traditional Running | Row 49
✅ Saved → HBQ | Traditional Running | Row 50
✅ Saved → HBQ | Traditional Running | Row 51
✅ Saved → HBQ | Traditional Running | Row 52
✅ Saved → HBQ | Traditional Running | Row 53
✅ Saved → HBQ | Traditional Running | Row 54
✅ Saved → HBQ | Traditional Running | Row 55
✅ Saved → HBQ | Traditional Running | Row 56
✅ Saved → HBQ | Traditional Running | Row 57
✅ Saved → HBQ | Traditional Running | Row 58
✅ Saved → HBQ | Traditional Running | Row 59
✅ Saved → HBQ | Traditional Running | Row 60
✅ Saved → HBQ | Traditional Running | Row 61
✅ Saved → HBQ | Traditional Running | Row 62
✅ Saved → HBQ | Traditional Running | Row 63
✅ Saved → HBQ | Traditional Running | Row 64
✅ Saved → HBQ | Traditional Running | Row 65
✅ Saved → HBQ | Traditional Running | Row 66
✅ Saved → HBQ | Traditional Running | Row 67
✅ Saved → HBQ | Traditional Running | Row 68
✅ Saved → HBQ | Traditional Running | Row 69
✅ Saved → HBQ | Traditional Running | Row 70
✅ Saved → HBQ | Traditional Running | Row 71
✅ Saved → HBQ | Traditional Running | Row 72
✅ Saved → HBQ | Traditional Running | Row 73
✅ Saved → HBQ | Traditional Running | Row 74
✅ Saved → HBQ | Traditional Running | Row 75
✅ Saved → HBQ | Traditional Running | Row 76
✅ Saved → HBQ | Traditional Running | Row 77
✅ Saved → HBQ | Traditional Running | Row 78
✅ Saved → HBQ | Traditional Running | Row 79
✅ Saved → HBQ | Traditional Running | Row 80
✅ Saved → HBQ | Traditional Running | Row 81
✅ Saved → HBQ | Traditional Running | Row 82
✅ Saved → HBQ | Traditional Running | Row 83
✅ Saved → HBQ | Traditional Running | Row 84
✅ Saved → HBQ | Traditional Running | Row 85
✅ Saved → HBQ | Traditional Running | Row 86
✅ Saved → HBQ | Traditional Running | Row 87
✅ Saved → HBQ | Traditional Running | Row 88
✅ Saved → HBQ | Traditional Running | Row 89
✅ Saved → HBQ | Traditional Running | Row 90
✅ Saved → HBQ | Traditional Running | Row 91
✅ Saved → HBQ | Traditional Running | Row 92
✅ Saved → HBQ | Traditional Running | Row 93
✅ Saved → HBQ | Traditional Running | Row 94
✅ Saved → HBQ | Traditional Running | Row 95
✅ Saved → HBQ | Traditional Running | Row 96
✅ Saved → HBQ | Traditional Running | Row 97
✅ Saved → HBQ | Traditional Running | Row 98
✅ Saved → HBQ | Traditional Running | Row 99
✅ Saved → HBQ | Traditional Running | Row 100
✅ Saved → HBQ | Traditional Running | Row 101
✅ Saved → HBQ | Traditional Running | Row 102
✅ Saved → HBQ | Traditional Running | Row 103
✅ Saved → HBQ | Traditional Running | Row 104
✅ Saved → HBQ | Traditional Running | Row 105
✅ Saved → HBQ | Traditional Running | Row 106
✅ Saved → HBQ | Traditional Running | Row 107
✅ Saved → HBQ | Traditional Running | Row 108
✅ Saved → HBQ | Traditional Running | Row 109
✅ Saved → HBQ | Traditional Running | Row 110
✅ Saved → HBQ | Traditional Running | Row 111
✅ Saved → HBQ | Traditional Running | Row 112
✅ Saved → HBQ | Traditional Running | Row 113
✅ Saved → HBQ | Traditional Running | Row 114
✅ Saved → HBQ | Traditional Running | Row 115
✅ Saved → HBQ | Traditional Running | Row 116
✅ Saved → HBQ | Traditional Running | Row 117
✅ Saved → HBQ | Traditional Running | Row 118
✅ Saved → HBQ | Traditional Running | Row 119
✅ Saved → HBQ | Traditional Running | Row 120
✅ Saved → HBQ | Traditional Running | Row 121
✅ Saved → HBQ | Traditional Running | Row 122
✅ Saved → HBQ | Traditional Running | Row 123
✅ Saved → HBQ | Traditional Running | Row 124
✅ Saved → HBQ | Traditional Running | Row 125
✅ Saved → HBQ | Traditional Running | Row 126
✅ Saved → HBQ | Traditional Running | Row 127
✅ Saved → HBQ | Traditional Running | Row 128
✅ Saved → HBQ | Traditional Running | Row 129
✅ Saved → HBQ | Traditional Running | Row 130
✅ Saved → HBQ | Traditional Running | Row 131
✅ Saved → HBQ | Traditional Running | Row 132
✅ Saved → HBQ | Traditional Running | Row 133
✅ Saved → HBQ | Traditional Running | Row 134
✅ Saved → HBQ | Traditional Running | Row 135
✅ Saved → HBQ | Traditional Running | Row 136
✅ Saved → HBQ | Traditional Running | Row 137
✅ Saved → HBQ | Traditional Running | Row 138
✅ Saved → HBQ | Traditional Running | Row 139
✅ Saved → HBQ | Traditional Running | Row 140
✅ Saved → HBQ | Traditional Running | Row 141
✅ Saved → HBQ | Traditional Running | Row 142
✅ Saved → HBQ | Traditional Running | Row 143
✅ Saved → HBQ | Aba Geda Wrestling | Row 0
✅ Saved → HBQ | Aba Geda Wrestling | Row 1
✅ Saved → HBQ | Aba Geda Wrestling | Row 2
✅ Saved → HBQ | Aba Geda Wrestling | Row 3
✅ Saved → HBQ | Aba Geda Wrestling | Row 4
✅ Saved → HBQ | Aba Geda Wrestling | Row 5
✅ Saved → HBQ | Aba Geda Wrestling | Row 6
✅ Saved → HBQ | Aba Geda Wrestling | Row 7
❌ Error on row 8: 504 Server Error: Gateway Time-out for url: https://cloud.olakrutrim.com/v1/chat/completions
✅ Saved → HBQ | Aba Geda Wrestling | Row 8
✅ Saved → HBQ | Aba Geda Wrestling | Row 9
✅ Saved → HBQ | Aba Geda Wrestling | Row 10
✅ Saved → HBQ | Aba Geda Wrestling | Row 11
✅ Saved → HBQ | Aba Geda Wrestling | Row 12
✅ Saved → HBQ | Aba Geda Wrestling | Row 13
