Started at: 10:31:57
['/DATA/rohan_kirti/country/pakistan/RBQ/Pakistan_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/pakistan/RBQ/Pakistan_RBQ.xlsx
✅ Saved → RBQ | Gatka | Row 20
✅ Saved → RBQ | Gatka | Row 21
✅ Saved → RBQ | Gatka | Row 22
✅ Saved → RBQ | Gatka | Row 23
✅ Saved → RBQ | Gatka | Row 24
✅ Saved → RBQ | Gatka | Row 25
✅ Saved → RBQ | Gatka | Row 26
✅ Saved → RBQ | Gatka | Row 27
✅ Saved → RBQ | Gatka | Row 28
✅ Saved → RBQ | Gatka | Row 29
✅ Saved → RBQ | Gatka | Row 30
✅ Saved → RBQ | Gatka | Row 31
✅ Saved → RBQ | Gatka | Row 32
✅ Saved → RBQ | Gatka | Row 33
✅ Saved → RBQ | Gatka | Row 34
✅ Saved → RBQ | Gatka | Row 35
✅ Saved → RBQ | Gatka | Row 36
✅ Saved → RBQ | Gatka | Row 37
✅ Saved → RBQ | Gatka | Row 38
✅ Saved → RBQ | Gatka | Row 39
✅ Saved → RBQ | Gatka | Row 40
✅ Saved → RBQ | Gatka | Row 41
✅ Saved → RBQ | Gatka | Row 42
✅ Saved → RBQ | Gatka | Row 43
✅ Saved → RBQ | Gatka | Row 44
✅ Saved → RBQ | Gatka | Row 45
✅ Saved → RBQ | Gatka | Row 46
✅ Saved → RBQ | Gatka | Row 47
✅ Saved → RBQ | Gatka | Row 48
✅ Saved → RBQ | Gatka | Row 49
✅ Saved → RBQ | Gatka | Row 50
✅ Saved → RBQ | Gatka | Row 51
✅ Saved → RBQ | Gatka | Row 52
✅ Saved → RBQ | Gatka | Row 53
✅ Saved → RBQ | Gatka | Row 54
✅ Saved → RBQ | Gatka | Row 55
✅ Saved → RBQ | Gatka | Row 56
✅ Saved → RBQ | Gatka | Row 57
✅ Saved → RBQ | Gatka | Row 58
✅ Saved → RBQ | Gatka | Row 59
✅ Saved → RBQ | Gatka | Row 60
✅ Saved → RBQ | Gatka | Row 61
✅ Saved → RBQ | Gatka | Row 62
✅ Saved → RBQ | Gatka | Row 63
✅ Saved → RBQ | Gatka | Row 64
✅ Saved → RBQ | Gatka | Row 65
✅ Saved → RBQ | Gatka | Row 66
✅ Saved → RBQ | Gatka | Row 67
✅ Saved → RBQ | Gatka | Row 68
✅ Saved → RBQ | Gatka | Row 69
✅ Saved → RBQ | Gatka | Row 70
✅ Saved → RBQ | Gatka | Row 71
✅ Saved → RBQ | Gatka | Row 72
✅ Saved → RBQ | Gatka | Row 73
✅ Saved → RBQ | Gatka | Row 74
✅ Saved → RBQ | Gatka | Row 75
✅ Saved → RBQ | Gatka | Row 76
✅ Saved → RBQ | Gatka | Row 77
✅ Saved → RBQ | Gatka | Row 78
✅ Saved → RBQ | Gatka | Row 79
✅ Saved → RBQ | Gatka | Row 80
✅ Saved → RBQ | Gatka | Row 81
✅ Saved → RBQ | Gatka | Row 82
✅ Saved → RBQ | Gatka | Row 83
✅ Saved → RBQ | Gatka | Row 84
✅ Saved → RBQ | Gatka | Row 85
✅ Saved → RBQ | Gatka | Row 86
✅ Saved → RBQ | Gatka | Row 87
✅ Saved → RBQ | Gatka | Row 88
✅ Saved → RBQ | Gatka | Row 89
✅ Saved → RBQ | Gatka | Row 90
✅ Saved → RBQ | Gatka | Row 91
✅ Saved → RBQ | Gatka | Row 92
✅ Saved → RBQ | Gatka | Row 93
✅ Saved → RBQ | Gatka | Row 94
✅ Saved → RBQ | Gatka | Row 95
✅ Saved → RBQ | Gatka | Row 96
✅ Saved → RBQ | Gatka | Row 97
✅ Saved → RBQ | Gatka | Row 98
✅ Saved → RBQ | Gatka | Row 99
✅ Saved → RBQ | Gatka | Row 100
✅ Saved → RBQ | Gatka | Row 101
✅ Saved → RBQ | Gatka | Row 102
✅ Saved → RBQ | Gatka | Row 103
✅ Saved → RBQ | Gatka | Row 104
✅ Saved → RBQ | Gatka | Row 105
✅ Saved → RBQ | Gatka | Row 106
✅ Saved → RBQ | Gatka | Row 107
✅ Saved → RBQ | Gatka | Row 108
✅ Saved → RBQ | Gatka | Row 109
✅ Saved → RBQ | Gatka | Row 110
✅ Saved → RBQ | Gatka | Row 111
✅ Saved → RBQ | Gatka | Row 112
✅ Saved → RBQ | Gatka | Row 113
✅ Saved → RBQ | Gatka | Row 114
✅ Saved → RBQ | Gatka | Row 115
✅ Saved → RBQ | Gatka | Row 116
✅ Saved → RBQ | Gatka | Row 117
✅ Saved → RBQ | Gatka | Row 118
✅ Saved → RBQ | Gatka | Row 119
✅ Saved → RBQ | Gatka | Row 121
✅ Saved → RBQ | Gatka | Row 122
✅ Saved → RBQ | Gatka | Row 123
✅ Saved → RBQ | Gatka | Row 124
✅ Saved → RBQ | Gatka | Row 127
✅ Saved → RBQ | Gatka | Row 128
✅ Saved → RBQ | Gatka | Row 131
✅ Saved → RBQ | Gatka | Row 132
✅ Saved → RBQ | Gatka | Row 133
✅ Saved → RBQ | Gatka | Row 135
✅ Saved → RBQ | Gatka | Row 136
✅ Saved → RBQ | Gatka | Row 137
✅ Saved → RBQ | Gatka | Row 138
✅ Saved → RBQ | Gatka | Row 139
✅ Saved → RBQ | Gatka | Row 140
✅ Saved → RBQ | Gatka | Row 141
✅ Saved → RBQ | Gatka | Row 142
✅ Saved → RBQ | Gatka | Row 143
✅ Saved → RBQ | Gatka | Row 144
✅ Saved → RBQ | Gatka | Row 145
✅ Saved → RBQ | Gatka | Row 146
✅ Saved → RBQ | Gatka | Row 147
Failed to decode JSON from model: {
  "score": 0,
  "mistake": "The question is factually incorrect. 'Gatka' is not named after a wooden stick used for training; it is a traditional Sikh martial art that involves the use of swords and shields. The term 'Gatka' comes from the Punjabi word 'gat' meaning 'weapon' or 'form', and 'ka' as a suffix, referring to the martial art form involving simulated combat with wooden sticks or swords. The correct association is with swords or weapon simulation, not a training stick alone. The provided answer misrepresents the origin of the term.",
  "improved_question": "وہ "گٹکا" کیا ہے جس سے اس کھیل کا نام پڑا؟",
  "improved_options": [
    "A) تلوار کی ایک قسم",
    "B) لکڑی کی چھڑی جو تربیت کے لیے استعمال ہوتی ہے",
    "C) ڈھال",
    "D) لڑائی کا میدان"
  ],
  "correct_answer": "A) تلوار کی ایک قسم"
}
✅ Saved → RBQ | Gatka | Row 148
✅ Saved → RBQ | Gatka | Row 149
✅ Saved → RBQ | Gilli Danda | Row 0
✅ Saved → RBQ | Gilli Danda | Row 1
✅ Saved → RBQ | Gilli Danda | Row 2
✅ Saved → RBQ | Gilli Danda | Row 3
✅ Saved → RBQ | Gilli Danda | Row 4
✅ Saved → RBQ | Gilli Danda | Row 5
✅ Saved → RBQ | Gilli Danda | Row 6
✅ Saved → RBQ | Gilli Danda | Row 7
✅ Saved → RBQ | Gilli Danda | Row 8
✅ Saved → RBQ | Gilli Danda | Row 9
✅ Saved → RBQ | Gilli Danda | Row 10
✅ Saved → RBQ | Gilli Danda | Row 11
✅ Saved → RBQ | Gilli Danda | Row 12
✅ Saved → RBQ | Gilli Danda | Row 13
✅ Saved → RBQ | Gilli Danda | Row 14
✅ Saved → RBQ | Gilli Danda | Row 15
✅ Saved → RBQ | Gilli Danda | Row 16
✅ Saved → RBQ | Gilli Danda | Row 17
✅ Saved → RBQ | Gilli Danda | Row 18
✅ Saved → RBQ | Gilli Danda | Row 19
✅ Saved → RBQ | Gilli Danda | Row 20
✅ Saved → RBQ | Gilli Danda | Row 21
✅ Saved → RBQ | Gilli Danda | Row 22
✅ Saved → RBQ | Gilli Danda | Row 23
✅ Saved → RBQ | Gilli Danda | Row 24
✅ Saved → RBQ | Gilli Danda | Row 25
✅ Saved → RBQ | Gilli Danda | Row 26
✅ Saved → RBQ | Gilli Danda | Row 27
✅ Saved → RBQ | Gilli Danda | Row 28
✅ Saved → RBQ | Gilli Danda | Row 29
✅ Saved → RBQ | Gilli Danda | Row 30
✅ Saved → RBQ | Gilli Danda | Row 31
✅ Saved → RBQ | Gilli Danda | Row 32
✅ Saved → RBQ | Gilli Danda | Row 33
✅ Saved → RBQ | Gilli Danda | Row 34
✅ Saved → RBQ | Gilli Danda | Row 35
✅ Saved → RBQ | Gilli Danda | Row 36
✅ Saved → RBQ | Gilli Danda | Row 37
✅ Saved → RBQ | Gilli Danda | Row 38
✅ Saved → RBQ | Gilli Danda | Row 39
✅ Saved → RBQ | Gilli Danda | Row 40
✅ Saved → RBQ | Gilli Danda | Row 41
✅ Saved → RBQ | Gilli Danda | Row 42
✅ Saved → RBQ | Gilli Danda | Row 43
✅ Saved → RBQ | Gilli Danda | Row 44
✅ Saved → RBQ | Gilli Danda | Row 45
✅ Saved → RBQ | Gilli Danda | Row 46
✅ Saved → RBQ | Gilli Danda | Row 47
✅ Saved → RBQ | Gilli Danda | Row 48
✅ Saved → RBQ | Gilli Danda | Row 49
✅ Saved → RBQ | Gilli Danda | Row 50
✅ Saved → RBQ | Gilli Danda | Row 51
✅ Saved → RBQ | Gilli Danda | Row 52
✅ Saved → RBQ | Gilli Danda | Row 53
✅ Saved → RBQ | Gilli Danda | Row 54
✅ Saved → RBQ | Gilli Danda | Row 55
✅ Saved → RBQ | Gilli Danda | Row 56
✅ Saved → RBQ | Gilli Danda | Row 57
✅ Saved → RBQ | Gilli Danda | Row 58
✅ Saved → RBQ | Gilli Danda | Row 59
✅ Saved → RBQ | Gilli Danda | Row 60
✅ Saved → RBQ | Gilli Danda | Row 61
✅ Saved → RBQ | Gilli Danda | Row 62
✅ Saved → RBQ | Gilli Danda | Row 63
✅ Saved → RBQ | Gilli Danda | Row 64
✅ Saved → RBQ | Gilli Danda | Row 65
✅ Saved → RBQ | Gilli Danda | Row 66
✅ Saved → RBQ | Gilli Danda | Row 67
✅ Saved → RBQ | Gilli Danda | Row 68
✅ Saved → RBQ | Gilli Danda | Row 69
✅ Saved → RBQ | Gilli Danda | Row 70
✅ Saved → RBQ | Gilli Danda | Row 71
✅ Saved → RBQ | Gilli Danda | Row 72
✅ Saved → RBQ | Gilli Danda | Row 73
✅ Saved → RBQ | Gilli Danda | Row 74
✅ Saved → RBQ | Gilli Danda | Row 75
✅ Saved → RBQ | Gilli Danda | Row 76
✅ Saved → RBQ | Gilli Danda | Row 77
✅ Saved → RBQ | Gilli Danda | Row 78
✅ Saved → RBQ | Gilli Danda | Row 79
✅ Saved → RBQ | Gilli Danda | Row 80
✅ Saved → RBQ | Gilli Danda | Row 81
✅ Saved → RBQ | Gilli Danda | Row 82
✅ Saved → RBQ | Gilli Danda | Row 83
✅ Saved → RBQ | Gilli Danda | Row 84
✅ Saved → RBQ | Gilli Danda | Row 85
✅ Saved → RBQ | Gilli Danda | Row 86
✅ Saved → RBQ | Gilli Danda | Row 87
✅ Saved → RBQ | Gilli Danda | Row 88
✅ Saved → RBQ | Gilli Danda | Row 89
✅ Saved → RBQ | Gilli Danda | Row 90
✅ Saved → RBQ | Gilli Danda | Row 91
✅ Saved → RBQ | Gilli Danda | Row 92
✅ Saved → RBQ | Gilli Danda | Row 93
